Player ID,First Name,Last Name,Position,Cost,Team,Total points,Goals scored,Assists,Clean sheets,Points per game rank,Value form,Value season,ICT Index,Expected goals,Expected assists,Expected goal involvements,Influence rank,Form rank,Player form,In dream team,News,Chance of playing next round,Points per game,ICT Index rank,Expected goals per 90,Expected assists per 90,Strength overall home,Strength overall away,team,team_code,PlayerID,Gameweek 8,Gameweek 9,Gameweek 10,Gameweek 11,Gameweek 12,Gameweek 13,Gameweek 14,Gameweek 15,Gameweek 16,Gameweek 17,Gameweek 18,Gameweek 19,Gameweek 20,Gameweek 21,Gameweek 22,Gameweek 23,Gameweek 24,Gameweek 25,Gameweek 26,Gameweek 27,Gameweek 28,Gameweek 29,Gameweek 30,Gameweek 31,Gameweek 32,Gameweek 33,Gameweek 34,Gameweek 35,Gameweek 36,Gameweek 37,Gameweek 38,Difficulty_score,Fixture Difficulty Index,full_name
13,Martin,Ødegaard,MID,82,Arsenal,7,0,0,2,181,0.0,0.9,17.0,0.46,0.74,1.20,282,665,0.0,False,Ankle injury - Unknown return date,0.0,2.3,184,0.16,0.26,1350,1375,1,3,13,3.0,5.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,5.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,2.0,19.0,0.0,Martin Ødegaard
15,David,Raya Martin,GK,56,Arsenal,36,0,0,3,27,0.4,6.4,21.3,0.00,0.01,0.01,13,141,2.3,False,,100.0,5.1,144,0.0,0.0,1350,1375,1,3,15,3.0,5.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,5.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,2.0,19.0,0.121,David Raya Martin
16,Declan,Rice,MID,63,Arsenal,8,0,0,2,291,0.3,1.3,24.6,0.39,0.62,1.01,184,188,1.7,False,,100.0,1.3,109,0.07,0.11,1350,1375,1,3,16,3.0,5.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,5.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,2.0,19.0,0.089,Declan Rice
17,Bukayo,Saka,MID,101,Arsenal,54,2,7,3,6,0.8,5.3,101.4,2.00,3.15,5.15,3,9,7.7,True,Leg injury - 75% chance of playing,75.0,7.7,1,0.32,0.5,1350,1375,1,3,17,3.0,5.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,5.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,2.0,19.0,0.405,Bukayo Saka
18,William,Saliba,DEF,60,Arsenal,22,0,0,3,107,0.2,3.7,13.4,0.00,0.07,0.07,103,253,1.0,False,,,3.1,222,0.0,0.01,1350,1375,1,3,18,3.0,5.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,5.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,2.0,19.0,0.053,William Saliba
20,Thomas,Partey,MID,50,Arsenal,23,1,0,3,92,0.3,4.6,26.4,0.27,0.37,0.64,70,177,1.7,False,,,3.3,95,0.04,0.05,1350,1375,1,3,20,3.0,5.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,5.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,2.0,19.0,0.089,Thomas Partey
21,Kieran,Tierney,DEF,43,Arsenal,0,0,0,0,509,0.0,0.0,0.0,0.00,0.00,0.00,501,450,0.0,False,Hamstring injury - Unknown return date,0.0,0.0,505,0.0,0.0,1350,1375,1,3,21,3.0,5.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,5.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,2.0,19.0,0.0,Kieran Tierney
22,Tomiyasu,Takehiro,DEF,48,Arsenal,1,0,0,0,355,0.1,0.2,1.0,0.18,0.00,0.18,415,328,0.3,False,,100.0,1.0,400,2.7,0.0,1350,1375,1,3,22,3.0,5.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,5.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,2.0,19.0,0.016,Tomiyasu Takehiro
23,Leandro,Trossard,MID,69,Arsenal,23,2,1,1,99,0.5,3.3,34.6,1.45,0.32,1.77,115,78,3.7,False,,,3.3,57,0.38,0.08,1350,1375,1,3,23,3.0,5.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,5.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,2.0,19.0,0.195,Leandro Trossard
24,Benjamin,White,DEF,63,Arsenal,21,0,0,3,49,0.0,3.3,9.1,0.11,0.09,0.20,206,352,0.3,False,Groin Injury - 75% chance of playing,75.0,4.2,262,0.02,0.02,1350,1375,1,3,24,3.0,5.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,5.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,2.0,19.0,0.016,Benjamin White
25,Oleksandr,Zinchenko,DEF,48,Arsenal,7,0,0,1,80,0.0,1.5,1.8,0.00,0.04,0.04,380,584,0.0,False,Calf injury - 50% chance of playing,50.0,3.5,380,0.0,0.05,1350,1375,1,3,25,3.0,5.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,5.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,2.0,19.0,0.0,Oleksandr Zinchenko
73,Norberto,Murara Neto,GK,43,Arsenal,7,0,0,0,76,0.0,1.6,7.8,0.00,0.00,0.00,175,442,0.0,False,Ineligible to face his parent club on 19/10. - Expected back 27 Oct,0.0,3.5,282,0.0,0.0,1350,1375,1,3,73,3.0,5.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,5.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,2.0,19.0,0.0,Norberto Murara Neto
186,Raheem,Sterling,MID,67,Arsenal,3,0,0,0,399,0.1,0.4,5.5,0.33,0.05,0.38,387,302,0.7,False,,,1.0,311,0.35,0.05,1350,1375,1,3,186,3.0,5.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,5.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,2.0,19.0,0.037,Raheem Sterling
578,Riccardo,Calafiori,DEF,58,Arsenal,13,1,0,0,159,0.6,2.2,22.8,0.50,0.40,0.90,150,76,3.7,False,,100.0,2.6,123,0.15,0.12,1350,1375,1,3,578,3.0,5.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,5.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,2.0,19.0,0.195,Riccardo Calafiori
597,Myles,Lewis-Skelly,MID,45,Arsenal,0,0,0,0,585,0.0,0.0,0.0,0.00,0.00,0.00,577,546,0.0,False,,,0.0,581,0.0,0.0,1350,1375,1,3,597,3.0,5.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,5.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,2.0,19.0,0.0,Myles Lewis-Skelly
633,Mikel,Merino,MID,60,Arsenal,1,0,0,0,394,0.0,0.2,3.4,0.00,0.03,0.03,313,351,0.3,False,,100.0,1.0,342,0.0,0.09,1350,1375,1,3,633,3.0,5.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,5.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,2.0,19.0,0.016,Mikel Merino
638,Salah-Eddine,Oulad M'hand,MID,45,Arsenal,0,0,0,0,584,0.0,0.0,0.0,0.00,0.00,0.00,576,545,0.0,False,,,0.0,580,0.0,0.0,1350,1375,1,3,638,3.0,5.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,5.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,2.0,19.0,0.0,Salah-Eddine Oulad M'hand
639,Tommy,Setford,GK,45,Arsenal,0,0,0,0,599,0.0,0.0,0.0,0.00,0.00,0.00,591,563,0.0,False,,,0.0,595,0.0,0.0,1350,1375,1,3,639,3.0,5.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,5.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,2.0,19.0,0.0,Tommy Setford
657,Maldini,Kacurri,DEF,40,Arsenal,0,0,0,0,500,0.0,0.0,0.0,0.00,0.00,0.00,492,434,0.0,False,,,0.0,496,0.0,0.0,1350,1375,1,3,657,3.0,5.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,5.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,2.0,19.0,0.0,Maldini Kacurri
658,Ayden,Heaven,DEF,40,Arsenal,0,0,0,0,502,0.0,0.0,0.0,0.00,0.00,0.00,494,436,0.0,False,,,0.0,498,0.0,0.0,1350,1375,1,3,658,3.0,5.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,5.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,2.0,19.0,0.0,Ayden Heaven
659,Ismeal,Kabia,MID,45,Arsenal,0,0,0,0,609,0.0,0.0,0.0,0.00,0.00,0.00,601,573,0.0,False,,,0.0,605,0.0,0.0,1350,1375,1,3,659,3.0,5.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,5.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,2.0,19.0,0.0,Ismeal Kabia
662,Josh,Nichols,DEF,40,Arsenal,0,0,0,0,481,0.0,0.0,0.0,0.00,0.00,0.00,473,413,0.0,False,,,0.0,477,0.0,0.0,1350,1375,1,3,662,3.0,5.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,5.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,2.0,19.0,0.0,Josh Nichols
665,Nathan,Butler-Oyedeji,FWD,45,Arsenal,0,0,0,0,562,0.0,0.0,0.0,0.00,0.00,0.00,554,522,0.0,False,,,0.0,558,0.0,0.0,1350,1375,1,3,665,3.0,5.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,5.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,2.0,19.0,0.0,Nathan Butler-Oyedeji
28,Leon,Bailey,MID,63,Aston Villa,13,0,1,1,192,0.5,2.1,18.9,0.35,1.08,1.43,275,107,3.0,False,,100.0,2.2,161,0.09,0.28,1160,1220,2,7,28,3.0,2.0,4.0,5.0,2.0,4.0,2.0,2.0,2.0,5.0,4.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,4.0,2.0,3.0,5.0,3.0,3.0,2.0,3.0,5.0,2.0,3.0,4.0,3.0,16.0,0.188,Leon Bailey
29,Ross,Barkley,MID,52,Aston Villa,9,0,1,1,272,0.2,1.7,12.0,0.12,0.18,0.30,243,244,1.0,False,,,1.5,239,0.05,0.08,1160,1220,2,7,29,3.0,2.0,4.0,5.0,2.0,4.0,2.0,2.0,2.0,5.0,4.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,4.0,2.0,3.0,5.0,3.0,3.0,2.0,3.0,5.0,2.0,3.0,4.0,3.0,16.0,0.062,Ross Barkley
30,Enzo,Barrenechea,MID,49,Aston Villa,0,0,0,0,630,0.0,0.0,0.0,0.00,0.00,0.00,625,610,0.0,False,Loaned to Valencia CF,0.0,0.0,628,0.0,0.0,1160,1220,2,7,30,3.0,2.0,4.0,5.0,2.0,4.0,2.0,2.0,2.0,5.0,4.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,4.0,2.0,3.0,5.0,3.0,3.0,2.0,3.0,5.0,2.0,3.0,4.0,3.0,16.0,0.0,Enzo Barrenechea
